Sentence,Token,Filename
1,ï»¿Cable,2018 Residential Churn Questionnaire - Apr11_clean.json
1,Churn,2018 Residential Churn Questionnaire - Apr11_clean.json
1,Questionnaire,2018 Residential Churn Questionnaire - Apr11_clean.json
2,APPEND,2018 Residential Churn Questionnaire - Apr11_clean.json
2,PRODUCTS,2018 Residential Churn Questionnaire - Apr11_clean.json
2,THEY,2018 Residential Churn Questionnaire - Apr11_clean.json
2,HAD,2018 Residential Churn Questionnaire - Apr11_clean.json
2,WITH,2018 Residential Churn Questionnaire - Apr11_clean.json
2,ROGERS,2018 Residential Churn Questionnaire - Apr11_clean.json
2,-,2018 Residential Churn Questionnaire - Apr11_clean.json
2,TV,2018 Residential Churn Questionnaire - Apr11_clean.json
2,"ONLY,",2018 Residential Churn Questionnaire - Apr11_clean.json
2,INTERNET,2018 Residential Churn Questionnaire - Apr11_clean.json
2,"ONLY,",2018 Residential Churn Questionnaire - Apr11_clean.json
2,TV,2018 Residential Churn Questionnaire - Apr11_clean.json
2,AND,2018 Residential Churn Questionnaire - Apr11_clean.json
2,INTERNET,2018 Residential Churn Questionnaire - Apr11_clean.json
3,Coding:,2018 Residential Churn Questionnaire - Apr11_clean.json
4,Maru,2018 Residential Churn Questionnaire - Apr11_clean.json
4,to,2018 Residential Churn Questionnaire - Apr11_clean.json
4,code:,2018 Residential Churn Questionnaire - Apr11_clean.json
5,"S3Q1a,",2018 Residential Churn Questionnaire - Apr11_clean.json
5,S3Q2,2018 Residential Churn Questionnaire - Apr11_clean.json
6,"S2Q1a,",2018 Residential Churn Questionnaire - Apr11_clean.json
6,S2Q2,2018 Residential Churn Questionnaire - Apr11_clean.json
7,Sampling:,2018 Residential Churn Questionnaire - Apr11_clean.json
7,These,2018 Residential Churn Questionnaire - Apr11_clean.json
7,quotas,2018 Residential Churn Questionnaire - Apr11_clean.json
7,will,2018 Residential Churn Questionnaire - Apr11_clean.json
7,be,2018 Residential Churn Questionnaire - Apr11_clean.json
7,based,2018 Residential Churn Questionnaire - Apr11_clean.json
7,off,2018 Residential Churn Questionnaire - Apr11_clean.json
7,Hidden,2018 Residential Churn Questionnaire - Apr11_clean.json
7,Variable:,2018 Residential Churn Questionnaire - Apr11_clean.json
7,Cancellation_Type,2018 Residential Churn Questionnaire - Apr11_clean.json
8,Segment,2018 Residential Churn Questionnaire - Apr11_clean.json
8,#,2018 Residential Churn Questionnaire - Apr11_clean.json
9,Target,2018 Residential Churn Questionnaire - Apr11_clean.json
9,n,2018 Residential Churn Questionnaire - Apr11_clean.json
9,per,2018 Residential Churn Questionnaire - Apr11_clean.json
9,month,2018 Residential Churn Questionnaire - Apr11_clean.json
10,Segment,2018 Residential Churn Questionnaire - Apr11_clean.json
10,name,2018 Residential Churn Questionnaire - Apr11_clean.json
11,Definition,2018 Residential Churn Questionnaire - Apr11_clean.json
11,of,2018 Residential Churn Questionnaire - Apr11_clean.json
11,sample,2018 Residential Churn Questionnaire - Apr11_clean.json
11,segment:,2018 Residential Churn Questionnaire - Apr11_clean.json
12,8,2018 Residential Churn Questionnaire - Apr11_clean.json
13,100,2018 Residential Churn Questionnaire - Apr11_clean.json
14,Rogers,2018 Residential Churn Questionnaire - Apr11_clean.json
14,TV,2018 Residential Churn Questionnaire - Apr11_clean.json
14,Only,2018 Residential Churn Questionnaire - Apr11_clean.json
14,Churners,2018 Residential Churn Questionnaire - Apr11_clean.json
15,Cancellation_Type=TV_Only,2018 Residential Churn Questionnaire - Apr11_clean.json
16,9,2018 Residential Churn Questionnaire - Apr11_clean.json
17,100,2018 Residential Churn Questionnaire - Apr11_clean.json
18,Rogers,2018 Residential Churn Questionnaire - Apr11_clean.json
18,Internet,2018 Residential Churn Questionnaire - Apr11_clean.json
18,Only,2018 Residential Churn Questionnaire - Apr11_clean.json
18,Churners,2018 Residential Churn Questionnaire - Apr11_clean.json
19,Cancellation_Type=Internet_Only,2018 Residential Churn Questionnaire - Apr11_clean.json
20,10,2018 Residential Churn Questionnaire - Apr11_clean.json
21,100,2018 Residential Churn Questionnaire - Apr11_clean.json
22,Rogers,2018 Residential Churn Questionnaire - Apr11_clean.json
22,TV,2018 Residential Churn Questionnaire - Apr11_clean.json
22,and,2018 Residential Churn Questionnaire - Apr11_clean.json
22,Internet,2018 Residential Churn Questionnaire - Apr11_clean.json
22,Churners,2018 Residential Churn Questionnaire - Apr11_clean.json
23,S1Q1=,2018 Residential Churn Questionnaire - Apr11_clean.json
23,code,2018 Residential Churn Questionnaire - Apr11_clean.json
23,2,2018 Residential Churn Questionnaire - Apr11_clean.json
23,AND,2018 Residential Churn Questionnaire - Apr11_clean.json
23,code,2018 Residential Churn Questionnaire - Apr11_clean.json
23,3,2018 Residential Churn Questionnaire - Apr11_clean.json
24,Good,2018 Residential Churn Questionnaire - Apr11_clean.json
24,"morning/afternoon/evening,",2018 Residential Churn Questionnaire - Apr11_clean.json
24,may,2018 Residential Churn Questionnaire - Apr11_clean.json
24,I,2018 Residential Churn Questionnaire - Apr11_clean.json
24,please,2018 Residential Churn Questionnaire - Apr11_clean.json
24,speak,2018 Residential Churn Questionnaire - Apr11_clean.json
24,to,2018 Residential Churn Questionnaire - Apr11_clean.json
24,<insert,2018 Residential Churn Questionnaire - Apr11_clean.json
24,name,2018 Residential Churn Questionnaire - Apr11_clean.json
24,from,2018 Residential Churn Questionnaire - Apr11_clean.json
